i,j,indice
3,1,0
3,2,1
2,3,2
2,2,3
1,2,4
3,3,5
2,1,6
1,1,7
1,3,8
1,0,9
2,0,10
2,4,11
3,0,12
0,2,13
0,1,14
0,3,15
0,0,16
