0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,115,1,0,0,0,0,15,0,4,0,0,0,1,0,0,0
1,3,2,14,2,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0
1,0,1,0,0,1,4,18,1,1,0,47,0,0,7,0,0,0
0,0,3,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1
0,0,12,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,23,0,1,0,19,0,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,4,0,13,2,0,0,0
0,0,2,0,4,0,1,11,2,1,0,0,0,2,36,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
