0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,103,2,0,0,0,0,14,0,7,0,0,0,1,0,0,0
1,2,2,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4,7,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,1,3,18,1,2,0,47,0,0,7,0,0,0
0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1
0,0,20,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,1,23,0,1,0,18,1,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,4,0,13,2,0,0,0
0,0,2,0,4,0,1,11,2,1,0,0,0,2,36,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
