0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,119,2,0,0,0,0,5,0,6,0,0,0,1,0,0,0
2,1,2,15,2,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,2,7,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0
1,0,1,0,0,1,4,17,1,1,0,46,0,0,7,0,0,0
0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,8,0,1,0,0,1,0,0,1
0,0,17,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
0,0,0,0,1,0,2,23,0,1,0,18,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,4,0,12,2,0,0,0
0,0,2,0,4,0,1,11,1,1,0,0,0,2,36,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
