i,j,indice
4,1,0
4,2,1
3,2,2
3,4,3
2,4,4
2,3,5
2,2,6
3,3,7
3,1,8
2,1,9
1,1,10
1,2,11
3,0,12
0,2,13
2,0,14
1,4,15
4,3,16
0,1,17
1,3,18
1,0,19
0,3,20
0,4,21
