i,j,indice
7,2,0
6,2,1
7,4,2
6,4,3
5,7,4
4,7,5
4,6,6
4,5,7
3,5,8
3,4,9
5,6,10
6,6,11
5,3,12
6,3,13
7,3,14
3,2,15
3,3,16
3,6,17
3,7,18
5,5,19
5,4,20
3,1,21
4,4,22
4,1,23
4,2,24
6,5,25
2,2,26
2,3,27
4,3,28
4,8,29
6,1,30
6,0,31
5,0,32
5,1,33
5,2,34
0,4,35
1,4,36
0,3,37
7,1,38
6,7,39
3,0,40
4,0,41
2,4,42
7,5,43
0,2,44
1,3,45
1,2,46
2,5,47
1,5,48
2,0,49
2,1,50
2,6,51
1,6,52
1,7,53
0,1,54
2,7,55
0,6,56
0,5,57
1,1,58
7,6,59
