0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,57,22,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,10,58,1,0,0,0,0,3,0,0,0,0,1,0,0,0
1,1,0,2,13,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,3,9,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,6,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,3,19,1,47,0,0,0,7,1,0,0
0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,1,0
0,0,0,0,0,1,0,0,23,0,18,0,0,2,1,1,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,0,13,2,0,0,0
0,0,0,2,0,3,0,1,11,1,0,1,0,3,36,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
