i,j,indice
11,3,0
10,3,1
10,4,2
11,7,3
10,7,4
9,7,5
8,12,6
7,12,7
6,12,8
6,11,9
6,10,10
6,9,11
6,8,12
6,7,13
7,10,14
8,10,15
8,11,16
9,11,17
9,10,18
9,5,19
10,5,20
11,5,21
6,3,22
6,4,23
6,5,24
6,6,25
9,9,26
9,8,27
7,11,28
11,6,29
11,4,30
6,2,31
5,7,32
4,4,33
5,4,34
5,5,35
4,5,36
8,7,37
8,8,38
9,1,39
7,3,40
8,3,41
9,3,42
0,7,43
0,6,44
1,6,45
1,7,46
0,5,47
10,10,48
8,0,49
8,1,50
5,3,51
6,1,52
7,1,53
7,0,54
5,12,55
7,7,56
5,2,57
5,1,58
10,6,59
9,6,60
8,6,61
7,6,62
4,7,63
3,7,64
2,7,65
1,5,66
9,0,67
1,4,68
2,4,69
1,3,70
0,3,71
3,4,72
8,5,73
3,5,74
2,5,75
2,6,76
7,8,77
8,9,78
7,5,79
8,4,80
7,4,81
5,6,82
4,6,83
4,8,84
3,8,85
0,4,86
4,1,87
4,2,88
3,2,89
4,3,90
2,3,91
3,9,92
3,10,93
4,10,94
5,10,95
9,4,96
5,0,97
7,9,98
2,8,99
2,9,100
3,6,101
2,10,102
4,9,103
8,2,104
3,3,105
9,2,106
5,9,107
3,1,108
12,7,109
10,8,110
7,2,111
11,8,112
4,11,113
6,0,114
1,10,115
5,11,116
5,8,117
1,8,118
3,11,119
1,9,120
2,11,121
0,9,122
0,8,123
11,9,124
10,9,125
9,12,126
12,5,127
10,2,128
4,0,129
2,2,130
12,8,131
12,6,132
