0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,87,4,1,1,0,0,0,1,3,0,0,0,0,0,0,0
0,1,4,51,1,0,0,0,0,2,0,0,0,0,0,1,0,0
1,1,0,5,15,1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0
1,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,0,5,2,0,0,0,0,0,1,1,0,0
0,0,0,1,0,1,1,3,18,1,0,0,0,47,0,7,0,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,12,4,0,1,1,0
0,0,0,1,0,1,0,0,22,0,0,0,1,18,1,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,1
0,0,2,0,0,2,0,1,11,1,1,0,3,0,1,34,0,0
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
