i,j,indice
7,2,0
7,3,1
7,5,2
6,5,3
5,8,4
4,8,5
4,7,6
4,6,7
4,5,8
5,7,9
6,8,10
6,7,11
6,3,12
8,4,13
4,2,14
4,3,15
4,4,16
6,6,17
7,4,18
3,5,19
3,3,20
3,4,21
5,5,22
5,6,23
6,1,24
5,2,25
6,2,26
0,5,27
0,4,28
1,4,29
1,5,30
5,0,31
5,1,32
3,2,33
4,1,34
3,8,35
3,1,36
2,5,37
0,3,38
8,5,39
6,0,40
1,3,41
2,3,42
5,4,43
2,4,44
5,3,45
2,6,46
2,1,47
2,2,48
1,2,49
2,7,50
3,7,51
1,6,52
1,7,53
3,6,54
6,4,55
0,2,56
4,0,57
2,8,58
7,6,59
0,6,60
0,7,61
6,9,62
7,7,63
5,9,64
4,9,65
8,2,66
8,6,67
3,0,68
2,0,69
1,8,70
8,3,71
8,7,72
