i,j,indice
10,3,0
10,4,1
10,7,2
9,7,3
7,12,4
6,12,5
6,11,6
6,10,7
6,9,8
6,8,9
6,7,10
5,7,11
7,10,12
8,12,13
8,11,14
8,10,15
9,10,16
7,11,17
8,5,18
9,5,19
9,4,20
10,5,21
11,5,22
5,3,23
5,4,24
5,5,25
5,6,26
6,6,27
5,10,28
8,9,29
8,8,30
8,7,31
10,6,32
6,2,33
6,3,34
5,11,35
5,12,36
5,8,37
9,8,38
4,4,39
4,5,40
6,5,41
7,7,42
7,8,43
9,1,44
7,3,45
8,3,46
9,3,47
0,7,48
0,6,49
1,6,50
1,7,51
8,0,52
8,1,53
7,0,54
7,1,55
5,2,56
5,1,57
6,1,58
4,12,59
9,6,60
8,6,61
7,6,62
4,7,63
3,7,64
2,7,65
0,5,66
11,7,67
0,4,68
1,4,69
6,4,70
1,5,71
0,3,72
2,4,73
3,4,74
7,5,75
3,5,76
2,5,77
2,6,78
7,4,79
4,6,80
4,8,81
3,8,82
4,1,83
3,1,84
3,2,85
4,2,86
3,3,87
1,3,88
7,9,89
4,3,90
3,6,91
3,9,92
3,10,93
4,10,94
5,0,95
4,0,96
1,8,97
1,9,98
2,9,99
2,10,100
4,9,101
2,8,102
7,2,103
8,2,104
2,3,105
5,9,106
11,8,107
4,11,108
6,0,109
1,10,110
3,11,111
2,11,112
10,8,113
0,9,114
0,10,115
0,8,116
8,4,117
11,6,118
2,1,119
10,9,120
9,9,121
9,11,122
11,3,123
10,2,124
3,0,125
1,11,126
9,2,127
