epsilon,paso_m,MAE,MAE_normalizado,Error_relativo,Frobenius_normalizada
0.00822,1000,0.013985320372941876,0.00025427855223530683,0.44658201549403437,0.3428220760025415
0.01264,1000,0.011786332179930796,0.00019321856032673436,0.40362259609698137,0.2533433299503005
0.01706,1000,0.007123070834982192,0.00016188797352232256,0.25814765926526384,0.16151457061744964
0.02148,1000,0.0069580078125,0.00010542436079545455,0.25551159817994185,0.1905629272681648
0.0259,1000,0.005463059313215401,8.404706635716002e-05,0.17522692084547753,0.11898728156558001
0.03032,1000,0.00655076845553036,0.000163769211388259,0.1737625858228873,0.2641511870166663
0.03474,1000,0.004682622268470343,0.00010642323337432598,0.13180739452659695,0.16618427298728014
0.03916,1000,0.003456,7.2e-05,0.11770278972956351,0.10175081213931887
0.04358,1000,0.003569303985722784,5.6655618820996573e-05,0.11429308785035067,0.09207975983104341
0.048,1000,0.00403117441547971,6.608482648327394e-05,0.1288843742187221,0.11851433819230808
0.00822,1500,0.03640457872021017,0.0004919537664893266,0.3304271131154516,0.2709785448124989
0.01264,1500,0.0234375,0.0003605769230769231,0.2273726583964521,0.12727126640798922
0.01706,1500,0.030636925557645793,0.000578055199200864,0.25723564562011886,0.1536600905620157
0.02148,1500,0.03173777315296566,0.0006899515902818621,0.2222002091705761,0.26238589581005023
0.0259,1500,0.022574576726686373,0.000578835300684266,0.1352928956543015,0.2045259343841455
0.03032,1500,0.02666666666666667,0.0006837606837606838,0.17118573022419176,0.19834696331717017
0.03474,1500,0.023649556570814297,0.0004729911314162859,0.18372903765063203,0.1896259614328793
0.03916,1500,0.018812147272238646,0.0004823627505702217,0.1131841603724893,0.18535923774194493
0.04358,1500,0.015608740894901144,0.0002738375595596692,0.11054550148673867,0.11135322517893101
0.048,1500,0.01719967750604676,0.00030713709832226355,0.12906319870605582,0.1416915023406981
0.00822,2000,0.0640495867768595,0.001104303220290681,0.36564567239120477,0.15391335350888016
0.01264,2000,0.05,0.0010638297872340426,0.1837914973738162,0.10560500157131443
0.01706,2000,0.0381328073635766,0.00044340473678577437,0.18912676884159682,0.08102003338715597
0.02148,2000,0.03798392987582177,0.0004416736032072299,0.17287882095294888,0.0756667518687076
0.0259,2000,0.04090577063550037,0.0007437412842818249,0.11585903776306254,0.17044142492249043
0.03032,2000,0.044753086419753084,0.0005812089145422479,0.1318370491164609,0.13922275419882524
0.03474,2000,0.035493827160493825,0.00043819539704313367,0.11882616253357155,0.12037647395341997
0.03916,2000,0.041666666666666664,0.0003472222222222222,0.13635087609446583,0.10811059819722027
0.04358,2000,0.037551020408163265,0.0003129251700680272,0.10855693538620367,0.08461770404995576
0.048,2000,0.031020408163265307,0.0002442551823879158,0.10676760633709613,0.06684775612197345
0.00822,2500,0.11479591836734694,0.0016168439206668583,0.2875975223276855,0.13968298990638106
0.01264,2500,0.21597633136094674,0.0028796844181459566,0.33594034696130876,0.2647187551919586
0.01706,2500,0.1088,0.0014702702702702702,0.19766211661837774,0.12102459732379058
0.02148,2500,0.04158790170132325,0.000526429135459788,0.03973622413100261,0.043674091246242865
0.0259,2500,0.03780718336483932,0.0004725897920604915,0.0934194091452156,0.0357256796484452
0.03032,2500,0.028925619834710745,0.00036614708651532587,0.038172281490069626,0.030003429159295648
0.03474,2500,0.03305785123966942,0.00040314452731304173,0.07376263529675849,0.03386211577033954
0.03916,2500,0.03305785123966942,0.00040314452731304173,0.0597826762267369,0.03385995887898602
0.04358,2500,0.024793388429752067,0.0003023583954847813,0.0521505376344086,0.03191128231363014
0.048,2500,0.01652892561983471,0.00019914368216668326,0.036594920006597385,0.022541740866685808
0.00822,3000,0.18140589569160998,0.001563843928375948,0.37175599212000393,0.10034011113697135
0.01264,3000,0.12,0.0013186813186813187,0.15368562714341932,0.07818509465064542
0.01706,3000,0.14814814814814814,0.001628001628001628,0.22344711187063954,0.06593050423512806
0.02148,3000,0.1419753086419753,0.0015952281869884865,0.19742008028131247,0.0886330781978816
0.0259,3000,0.16049382716049382,0.0022604764388801948,0.0991978235474695,0.13930463590484862
0.03032,3000,0.14814814814814814,0.0025542784163473816,0.17548989271837678,0.1225646413561069
0.03474,3000,0.17901234567901234,0.002841465804428767,0.2055048168206063,0.20511146873200573
0.03916,3000,0.13580246913580246,0.0009769961808331112,0.11612751923003721,0.13351614433144512
0.04358,3000,0.1111111111111111,0.0011111111111111111,0.16312840718855756,0.08556558186139515
0.048,3000,0.08024691358024691,0.0006125718593911978,0.08046287040402816,0.05114717739303178
