0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,91,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,1,0,1,2,7,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,23,0,0,1,41,0,1,0,0,3,0,0,0,0
0,1,1,0,0,0,0,1,0,22,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,2,0,2,0,5,0,0,0,0,1,0,0,0,0
0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,20,0,0,0,19,0,0,0,0,1,0,0,0,0
0,0,0,2,1,1,3,0,0,0,0,1,0,12,1,1,0,4,1,0,1,0
0,0,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,1,2,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,1,0,0,3,0,3,2,0,2,1,0,0,29,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
