0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,82,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,1,0,1,2,7,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,22,0,1,1,41,0,1,0,0,3,0,0,0,0
0,1,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0,2,0,1,0,5,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,20,0,0,0,19,0,0,0,0,1,0,0,0,0
0,0,0,2,1,1,2,0,0,0,0,3,0,11,0,1,0,5,1,0,1,0
0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,0,2,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,1,0,0,4,0,2,1,0,3,1,0,0,28,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
